Time[s],Voltage[V]
0,0.0121
0.0001,0.0024
0.0002,0.0121
0.00030000000000000003,0.0113
0.0004,0.0193
0.0005,0.0210
0.0006000000000000001,0.0274
0.0007000000000000001,0.0250
0.0008000000000000001,0.0371
0.0009000000000000002,0.0322
0.0010000000000000002,0.0451
0.0011000000000000003,0.0435
0.0012000000000000003,0.0419
0.0013000000000000004,0.0492
0.0014000000000000004,0.0621
0.0015000000000000005,0.0604
0.0016000000000000005,0.0653
0.0017000000000000006,0.0645
0.0018000000000000006,0.0677
0.0019000000000000006,0.0830
0.0020000000000000005,0.0766
0.0021000000000000003,0.0741
0.0022,0.0790
0.0023,0.0862
0.0024,0.0854
0.0024999999999999996,0.0943
0.0025999999999999994,0.0919
0.0026999999999999993,0.0886
0.002799999999999999,0.1023
0.002899999999999999,0.1023
0.0029999999999999988,0.1096
0.0030999999999999986,0.1072
0.0031999999999999984,0.1120
0.0032999999999999982,0.1209
0.003399999999999998,0.1209
0.003499999999999998,0.1217
0.0035999999999999977,0.1289
0.0036999999999999976,0.1330
0.0037999999999999974,0.1362
0.0038999999999999972,0.1418
0.0039999999999999975,0.1442
0.004099999999999998,0.1491
0.004199999999999998,0.1451
0.004299999999999998,0.1596
0.0043999999999999985,0.1571
0.004499999999999999,0.1547
0.004599999999999999,0.1612
0.004699999999999999,0.1660
0.0048,0.1612
0.0049,0.1652
0.005,0.1692
0.0051,0.1725
0.005200000000000001,0.1853
0.005300000000000001,0.1829
0.005400000000000001,0.1853
0.005500000000000001,0.1950
0.005600000000000002,0.1886
0.005700000000000002,0.2023
0.005800000000000002,0.2007
0.0059000000000000025,0.1990
0.006000000000000003,0.2031
0.006100000000000003,0.2087
0.006200000000000003,0.2152
0.0063000000000000035,0.2216
0.006400000000000004,0.2127
0.006500000000000004,0.2200
0.006600000000000004,0.2224
0.0067000000000000046,0.2305
0.006800000000000005,0.2240
0.006900000000000005,0.2281
0.007000000000000005,0.2401
0.007100000000000006,0.2369
0.007200000000000006,0.2410
0.007300000000000006,0.2426
0.007400000000000006,0.2426
0.007500000000000007,0.2587
0.007600000000000007,0.2418
0.007700000000000007,0.2579
0.0078000000000000074,0.2595
0.007900000000000008,0.2603
0.008000000000000007,0.2684
0.008100000000000007,0.2708
0.008200000000000006,0.2724
0.008300000000000005,0.2651
0.008400000000000005,0.2821
0.008500000000000004,0.2772
0.008600000000000003,0.2748
0.008700000000000003,0.2804
0.008800000000000002,0.2853
0.008900000000000002,0.2861
0.009000000000000001,0.2917
0.0091,0.2869
0.0092,0.2990
0.0093,0.3054
0.009399999999999999,0.3207
0.009499999999999998,0.2990
0.009599999999999997,0.3022
0.009699999999999997,0.3167
0.009799999999999996,0.3135
0.009899999999999996,0.3183
0.009999999999999995,0.3248
0.010099999999999994,0.3223
0.010199999999999994,0.3280
0.010299999999999993,0.3232
0.010399999999999993,0.3368
0.010499999999999992,0.3232
0.010599999999999991,0.3304
0.01069999999999999,0.3352
0.01079999999999999,0.3449
0.01089999999999999,0.3465
0.010999999999999989,0.3433
0.011099999999999988,0.3489
0.011199999999999988,0.3554
0.011299999999999987,0.3602
0.011399999999999987,0.3594
0.011499999999999986,0.3618
0.011599999999999985,0.3626
0.011699999999999985,0.3594
0.011799999999999984,0.3659
0.011899999999999984,0.3707
0.011999999999999983,0.3788
0.012099999999999982,0.3796
0.012199999999999982,0.3876
0.012299999999999981,0.3836
0.01239999999999998,0.3852
0.01249999999999998,0.3884
0.01259999999999998,0.3860
0.012699999999999979,0.3876
0.012799999999999978,0.3957
0.012899999999999977,0.4070
0.012999999999999977,0.4005
0.013099999999999976,0.3989
0.013199999999999976,0.4070
0.013299999999999975,0.4013
0.013399999999999974,0.4110
0.013499999999999974,0.4134
0.013599999999999973,0.4134
0.013699999999999973,0.4190
0.013799999999999972,0.4174
0.013899999999999971,0.4279
0.01399999999999997,0.4239
0.01409999999999997,0.4215
0.01419999999999997,0.4303
0.014299999999999969,0.4336
0.014399999999999968,0.4384
0.014499999999999968,0.4464
0.014599999999999967,0.4352
0.014699999999999967,0.4448
0.014799999999999966,0.4456
0.014899999999999965,0.4537
0.014999999999999965,0.4545
0.015099999999999964,0.4473
0.015199999999999964,0.4601
0.015299999999999963,0.4521
0.015399999999999962,0.4666
0.015499999999999962,0.4610
0.015599999999999961,0.4626
0.01569999999999996,0.4714
0.01579999999999996,0.4747
0.01589999999999996,0.4714
0.01599999999999996,0.4843
0.016099999999999958,0.4787
0.016199999999999957,0.4851
0.016299999999999957,0.4859
0.016399999999999956,0.4875
0.016499999999999956,0.4964
0.016599999999999955,0.4940
0.016699999999999954,0.4988
0.016799999999999954,0.4948
0.016899999999999953,0.4932
0.016999999999999953,0.5004
0.017099999999999952,0.5012
0.01719999999999995,0.5101
0.01729999999999995,0.5021
0.01739999999999995,0.5141
0.01749999999999995,0.5141
0.01759999999999995,0.5085
0.01769999999999995,0.5190
0.017799999999999948,0.5190
0.017899999999999947,0.5190
0.017999999999999947,0.5222
0.018099999999999946,0.5246
0.018199999999999945,0.5327
0.018299999999999945,0.5319
0.018399999999999944,0.5432
0.018499999999999944,0.5351
0.018599999999999943,0.5391
0.018699999999999942,0.5335
0.018799999999999942,0.5359
0.01889999999999994,0.5464
0.01899999999999994,0.5432
0.01909999999999994,0.5488
0.01919999999999994,0.5520
0.01929999999999994,0.5536
0.019399999999999938,0.5504
0.019499999999999938,0.5593
0.019599999999999937,0.5609
0.019699999999999936,0.5544
0.019799999999999936,0.5585
0.019899999999999935,0.5609
0.019999999999999934,0.5762
0.020099999999999934,0.5641
0.020199999999999933,0.5762
0.020299999999999933,0.5794
0.020399999999999932,0.5794
0.02049999999999993,0.5786
0.02059999999999993,0.5778
0.02069999999999993,0.5842
0.02079999999999993,0.5762
0.02089999999999993,0.5891
0.02099999999999993,0.5907
0.021099999999999928,0.5963
0.021199999999999927,0.5996
0.021299999999999927,0.6044
0.021399999999999926,0.6044
0.021499999999999925,0.5988
0.021599999999999925,0.6052
0.021699999999999924,0.6052
0.021799999999999924,0.6100
0.021899999999999923,0.6052
0.021999999999999922,0.6012
0.022099999999999922,0.6133
0.02219999999999992,0.6141
0.02229999999999992,0.6165
0.02239999999999992,0.6189
0.02249999999999992,0.6213
0.02259999999999992,0.6253
0.022699999999999918,0.6262
0.022799999999999918,0.6302
0.022899999999999917,0.6334
0.022999999999999916,0.6326
0.023099999999999916,0.6358
0.023199999999999915,0.6374
0.023299999999999915,0.6495
0.023399999999999914,0.6334
0.023499999999999913,0.6471
0.023599999999999913,0.6511
0.023699999999999912,0.6455
0.02379999999999991,0.6511
0.02389999999999991,0.6600
0.02399999999999991,0.6576
0.02409999999999991,0.6584
0.02419999999999991,0.6479
0.02429999999999991,0.6632
0.024399999999999908,0.6640
0.024499999999999907,0.6640
0.024599999999999907,0.6624
0.024699999999999906,0.6761
0.024799999999999905,0.6664
0.024899999999999905,0.6697
0.024999999999999904,0.6681
0.025099999999999904,0.6826
0.025199999999999903,0.6729
0.025299999999999902,0.6785
0.025399999999999902,0.6777
0.0254999999999999,0.6834
0.0255999999999999,0.6882
0.0256999999999999,0.6930
0.0257999999999999,0.6874
0.0258999999999999,0.6995
0.025999999999999898,0.6979
0.026099999999999898,0.6922
0.026199999999999897,0.7019
0.026299999999999896,0.7035
0.026399999999999896,0.7019
0.026499999999999895,0.7075
0.026599999999999895,0.7011
0.026699999999999894,0.7075
0.026799999999999893,0.7116
0.026899999999999893,0.7084
0.026999999999999892,0.7188
0.02709999999999989,0.7164
0.02719999999999989,0.7180
0.02729999999999989,0.7156
0.02739999999999989,0.7221
0.02749999999999989,0.7229
0.02759999999999989,0.7221
0.027699999999999888,0.7293
0.027799999999999887,0.7293
0.027899999999999887,0.7333
0.027999999999999886,0.7285
0.028099999999999885,0.7341
0.028199999999999885,0.7438
0.028299999999999884,0.7366
0.028399999999999884,0.7358
0.028499999999999883,0.7462
0.028599999999999882,0.7438
0.028699999999999882,0.7535
0.02879999999999988,0.7470
