Time[s],Voltage[V]
0,0.0145
0.0003333333333333333,0.0129
0.0006666666666666666,0.0153
0.001,0.0290
0.0013333333333333333,0.0266
0.0016666666666666666,0.0330
0.002,0.0435
0.0023333333333333335,0.0516
0.002666666666666667,0.0532
0.0030000000000000005,0.0645
0.003333333333333334,0.0685
0.0036666666666666675,0.0709
0.004000000000000001,0.0774
0.004333333333333334,0.0878
0.004666666666666667,0.0878
0.005,0.0895
0.005333333333333333,0.0911
0.005666666666666666,0.1048
0.005999999999999999,0.1144
0.006333333333333332,0.1160
0.006666666666666665,0.1273
0.006999999999999998,0.1273
0.0073333333333333315,0.1354
0.0076666666666666645,0.1370
0.007999999999999998,0.1434
0.008333333333333331,0.1579
0.008666666666666665,0.1483
0.008999999999999998,0.1604
0.00933333333333333,0.1700
0.009666666666666664,0.1725
0.009999999999999997,0.1805
0.01033333333333333,0.1757
0.010666666666666663,0.1845
0.010999999999999996,0.2015
0.011333333333333329,0.2039
0.011666666666666662,0.2079
0.011999999999999995,0.1982
0.012333333333333328,0.2152
0.012666666666666661,0.2200
0.012999999999999994,0.2256
0.013333333333333327,0.2305
0.01366666666666666,0.2353
0.013999999999999993,0.2426
0.014333333333333326,0.2474
0.01466666666666666,0.2522
0.014999999999999993,0.2619
0.015333333333333326,0.2611
0.01566666666666666,0.2780
0.015999999999999993,0.2692
0.016333333333333328,0.2812
0.016666666666666663,0.2917
0.016999999999999998,0.2917
0.017333333333333333,0.3054
0.017666666666666667,0.3046
0.018000000000000002,0.3054
0.018333333333333337,0.3135
0.01866666666666667,0.3175
0.019000000000000006,0.3312
0.01933333333333334,0.3280
0.019666666666666676,0.3449
0.02000000000000001,0.3360
0.020333333333333346,0.3449
0.02066666666666668,0.3554
0.021000000000000015,0.3586
0.02133333333333335,0.3610
0.021666666666666685,0.3707
0.02200000000000002,0.3779
0.022333333333333354,0.3731
0.02266666666666669,0.3828
0.023000000000000024,0.3949
0.02333333333333336,0.3908
0.023666666666666693,0.4053
0.024000000000000028,0.4126
0.024333333333333363,0.4045
0.024666666666666698,0.4110
0.025000000000000033,0.4311
0.025333333333333367,0.4190
0.025666666666666702,0.4352
0.026000000000000037,0.4344
0.026333333333333372,0.4481
0.026666666666666707,0.4553
0.02700000000000004,0.4489
0.027333333333333376,0.4642
0.02766666666666671,0.4658
0.028000000000000046,0.4779
0.02833333333333338,0.4642
0.028666666666666715,0.4964
0.02900000000000005,0.4972
0.029333333333333385,0.4867
0.02966666666666672,0.4932
0.030000000000000054,0.5004
0.03033333333333339,0.5045
0.030666666666666724,0.5141
0.03100000000000006,0.5174
0.031333333333333394,0.5222
0.031666666666666725,0.5262
0.032000000000000056,0.5286
0.03233333333333339,0.5335
0.03266666666666672,0.5335
0.03300000000000005,0.5399
0.03333333333333338,0.5456
0.03366666666666671,0.5577
0.034000000000000044,0.5585
0.034333333333333375,0.5697
0.03466666666666671,0.5770
0.03500000000000004,0.5746
0.03533333333333337,0.5826
0.0356666666666667,0.5883
0.03600000000000003,0.5996
0.03633333333333336,0.5971
0.036666666666666695,0.5963
0.037000000000000026,0.6181
0.03733333333333336,0.6205
0.03766666666666669,0.6173
0.03800000000000002,0.6294
0.03833333333333335,0.6334
0.03866666666666668,0.6326
0.039000000000000014,0.6262
0.039333333333333345,0.6487
0.039666666666666676,0.6503
0.04000000000000001,0.6447
0.04033333333333334,0.6648
0.04066666666666667,0.6697
0.041,0.6592
0.04133333333333333,0.6713
0.041666666666666664,0.6745
0.041999999999999996,0.6858
0.04233333333333333,0.6890
0.04266666666666666,0.6898
0.04299999999999999,0.6955
0.04333333333333332,0.7051
0.04366666666666665,0.7156
0.043999999999999984,0.7212
0.044333333333333315,0.7148
0.044666666666666646,0.7156
0.04499999999999998,0.7358
0.04533333333333331,0.7414
0.04566666666666664,0.7317
0.04599999999999997,0.7478
0.0463333333333333,0.7446
0.046666666666666634,0.7495
0.046999999999999965,0.7615
0.0473333333333333,0.7736
0.04766666666666663,0.7704
0.04799999999999996,0.7744
0.04833333333333329,0.7801
0.04866666666666662,0.7849
0.04899999999999995,0.7881
0.049333333333333285,0.7946
0.049666666666666616,0.7978
0.04999999999999995,0.7994
0.05033333333333328,0.8034
0.05066666666666661,0.8131
0.05099999999999994,0.8188
0.05133333333333327,0.8163
0.051666666666666604,0.8284
0.051999999999999935,0.8171
0.052333333333333266,0.8389
0.0526666666666666,0.8349
0.05299999999999993,0.8607
0.05333333333333326,0.8405
0.05366666666666659,0.8558
0.05399999999999992,0.8639
0.054333333333333254,0.8679
0.054666666666666586,0.8647
0.05499999999999992,0.8711
0.05533333333333325,0.8768
0.05566666666666658,0.8848
0.05599999999999991,0.8832
0.05633333333333324,0.8816
0.056666666666666574,0.8937
0.056999999999999905,0.8953
0.057333333333333236,0.9001
0.05766666666666657,0.9122
0.0579999999999999,0.9074
0.05833333333333323,0.9098
0.05866666666666656,0.9114
0.05899999999999989,0.9203
0.059333333333333224,0.9316
0.059666666666666555,0.9412
0.05999999999999989,0.9356
0.06033333333333322,0.9372
0.06066666666666655,0.9404
0.06099999999999988,0.9412
0.06133333333333321,0.9549
0.06166666666666654,0.9582
0.061999999999999875,0.9695
0.062333333333333206,0.9622
0.06266666666666654,0.9662
0.06299999999999988,0.9686
0.06333333333333321,0.9791
0.06366666666666655,0.9703
0.06399999999999989,0.9888
0.06433333333333323,0.9912
0.06466666666666657,1.0041
0.0649999999999999,0.9977
0.06533333333333324,1.0081
0.06566666666666658,1.0105
0.06599999999999992,1.0089
0.06633333333333326,1.0242
0.0666666666666666,1.0170
0.06699999999999993,1.0218
0.06733333333333327,1.0355
0.06766666666666661,1.0283
0.06799999999999995,1.0363
0.06833333333333329,1.0468
0.06866666666666663,1.0371
0.06899999999999996,1.0557
0.0693333333333333,1.0516
0.06966666666666664,1.0420
0.06999999999999998,1.0516
0.07033333333333332,1.0702
0.07066666666666666,1.0686
0.071,1.0670
0.07133333333333333,1.0726
0.07166666666666667,1.0823
0.07200000000000001,1.0879
0.07233333333333335,1.0952
0.07266666666666668,1.0887
0.07300000000000002,1.0944
0.07333333333333336,1.0919
0.0736666666666667,1.0944
0.07400000000000004,1.1113
0.07433333333333338,1.1113
0.07466666666666671,1.1073
0.07500000000000005,1.1081
0.07533333333333339,1.1161
0.07566666666666673,1.1306
0.07600000000000007,1.1169
0.0763333333333334,1.1306
0.07666666666666674,1.1314
0.07700000000000008,1.1379
0.07733333333333342,1.1363
0.07766666666666676,1.1338
0.0780000000000001,1.1419
0.07833333333333344,1.1548
0.07866666666666677,1.1556
0.07900000000000011,1.1484
0.07933333333333345,1.1500
0.07966666666666679,1.1516
0.08000000000000013,1.1580
0.08033333333333346,1.1629
0.0806666666666668,1.1733
0.08100000000000014,1.1766
0.08133333333333348,1.1604
0.08166666666666682,1.1782
0.08200000000000016,1.1830
0.0823333333333335,1.1766
0.08266666666666683,1.1951
0.08300000000000017,1.1814
0.08333333333333351,1.2032
0.08366666666666685,1.1999
0.08400000000000019,1.2040
0.08433333333333352,1.2056
0.08466666666666686,1.2072
0.0850000000000002,1.2128
0.08533333333333354,1.2048
0.08566666666666688,1.2128
0.08600000000000022,1.2120
0.08633333333333355,1.2177
0.08666666666666689,1.2080
0.08700000000000023,1.2209
0.08733333333333357,1.2354
0.0876666666666669,1.2144
0.08800000000000024,1.2314
0.08833333333333358,1.2273
0.08866666666666692,1.2362
0.08900000000000026,1.2346
0.0893333333333336,1.2394
0.08966666666666694,1.2378
0.09000000000000027,1.2499
0.09033333333333361,1.2442
0.09066666666666695,1.2636
0.09100000000000029,1.2604
0.09133333333333363,1.2539
0.09166666666666697,1.2483
0.0920000000000003,1.2579
0.09233333333333364,1.2571
0.09266666666666698,1.2620
0.09300000000000032,1.2700
0.09333333333333366,1.2660
0.093666666666667,1.2684
0.09400000000000033,1.2716
0.09433333333333367,1.2636
0.09466666666666701,1.2862
0.09500000000000035,1.2829
0.09533333333333369,1.2765
0.09566666666666702,1.2950
0.09600000000000036,1.2805
0.0963333333333337,1.2894
0.09666666666666704,1.2894
0.09700000000000038,1.2974
0.09733333333333372,1.3031
0.09766666666666705,1.2918
0.09800000000000039,1.2926
0.09833333333333373,1.2966
0.09866666666666707,1.2966
0.09900000000000041,1.3087
0.09933333333333375,1.3063
0.09966666666666708,1.3136
0.10000000000000042,1.3127
0.10033333333333376,1.3248
0.1006666666666671,1.3119
0.10100000000000044,1.3224
0.10133333333333377,1.3184
0.10166666666666711,1.3289
0.10200000000000045,1.3184
0.10233333333333379,1.3216
0.10266666666666713,1.3176
0.10300000000000047,1.3305
0.1033333333333338,1.3208
0.10366666666666714,1.3289
0.10400000000000048,1.3353
0.10433333333333382,1.3329
0.10466666666666716,1.3410
0.1050000000000005,1.3329
0.10533333333333383,1.3305
0.10566666666666717,1.3506
0.10600000000000051,1.3514
0.10633333333333385,1.3466
0.10666666666666719,1.3506
0.10700000000000053,1.3514
0.10733333333333386,1.3587
0.1076666666666672,1.3410
0.10800000000000054,1.3482
0.10833333333333388,1.3482
0.10866666666666722,1.3684
0.10900000000000055,1.3684
0.10933333333333389,1.3659
0.10966666666666723,1.3555
0.11000000000000057,1.3603
0.11033333333333391,1.3724
0.11066666666666725,1.3684
0.11100000000000058,1.3603
0.11133333333333392,1.3764
0.11166666666666726,1.3708
0.1120000000000006,1.3635
0.11233333333333394,1.3611
0.11266666666666728,1.3643
0.11300000000000061,1.3732
0.11333333333333395,1.3684
0.11366666666666729,1.3692
0.11400000000000063,1.3788
0.11433333333333397,1.3772
0.1146666666666673,1.3804
0.11500000000000064,1.3804
0.11533333333333398,1.3804
0.11566666666666732,1.3885
0.11600000000000066,1.3788
0.116333333333334,1.3796
0.11666666666666733,1.3796
0.11700000000000067,1.3966
0.11733333333333401,1.3724
0.11766666666666735,1.3829
0.11800000000000069,1.3821
0.11833333333333403,1.3829
0.11866666666666736,1.3885
0.1190000000000007,1.3853
0.11933333333333404,1.3861
0.11966666666666738,1.3740
0.12000000000000072,1.3893
0.12033333333333406,1.3998
0.1206666666666674,1.3909
0.12100000000000073,1.3941
0.12133333333333407,1.3869
0.12166666666666741,1.3974
0.12200000000000075,1.3885
0.12233333333333408,1.3933
0.12266666666666742,1.3837
0.12300000000000076,1.3941
0.1233333333333341,1.3909
0.12366666666666744,1.3909
0.12400000000000078,1.3998
0.12433333333333411,1.3893
0.12466666666666745,1.3998
0.12500000000000078,1.3925
0.1253333333333341,1.3845
0.12566666666666743,1.3982
0.12600000000000075,1.3966
0.12633333333333407,1.3933
0.1266666666666674,1.3982
0.12700000000000072,1.3998
0.12733333333333405,1.3933
0.12766666666666737,1.3869
0.1280000000000007,1.3958
0.12833333333333402,1.3990
0.12866666666666735,1.3966
0.12900000000000067,1.3966
0.129333333333334,1.4062
0.12966666666666732,1.3982
0.13000000000000064,1.3861
0.13033333333333397,1.3853
0.1306666666666673,1.3877
0.13100000000000062,1.3966
0.13133333333333394,1.3917
0.13166666666666726,1.3845
0.1320000000000006,1.3917
0.1323333333333339,1.3925
0.13266666666666724,1.3845
0.13300000000000056,1.3829
0.1333333333333339,1.3909
0.1336666666666672,1.3845
0.13400000000000054,1.3845
0.13433333333333386,1.3837
0.13466666666666718,1.3901
0.1350000000000005,1.3780
0.13533333333333383,1.3877
0.13566666666666716,1.3893
0.13600000000000048,1.3788
0.1363333333333338,1.3756
0.13666666666666713,1.3788
0.13700000000000045,1.3837
0.13733333333333378,1.3877
0.1376666666666671,1.3974
0.13800000000000043,1.3804
0.13833333333333375,1.3716
0.13866666666666708,1.3788
0.1390000000000004,1.3756
0.13933333333333373,1.3788
0.13966666666666705,1.3861
0.14000000000000037,1.3740
0.1403333333333337,1.3684
0.14066666666666702,1.3796
0.14100000000000035,1.3748
0.14133333333333367,1.3700
0.141666666666667,1.3667
0.14200000000000032,1.3716
0.14233333333333364,1.3692
0.14266666666666697,1.3555
0.1430000000000003,1.3756
0.14333333333333362,1.3667
0.14366666666666694,1.3555
0.14400000000000027,1.3611
0.1443333333333336,1.3603
0.14466666666666692,1.3571
0.14500000000000024,1.3571
0.14533333333333356,1.3627
0.1456666666666669,1.3547
0.1460000000000002,1.3442
0.14633333333333354,1.3450
0.14666666666666686,1.3474
0.14700000000000019,1.3410
0.1473333333333335,1.3426
0.14766666666666683,1.3450
0.14800000000000016,1.3450
0.14833333333333348,1.3401
0.1486666666666668,1.3401
0.14900000000000013,1.3264
0.14933333333333346,1.3313
0.14966666666666678,1.3353
0.1500000000000001,1.3248
0.15033333333333343,1.3224
0.15066666666666675,1.3248
0.15100000000000008,1.3119
0.1513333333333334,1.3297
0.15166666666666673,1.3264
0.15200000000000005,1.3208
0.15233333333333338,1.3313
0.1526666666666667,1.3160
0.15300000000000002,1.3168
0.15333333333333335,1.3136
0.15366666666666667,1.3119
0.154,1.3023
0.15433333333333332,1.3095
0.15466666666666665,1.3079
0.15499999999999997,1.2910
0.1553333333333333,1.3071
0.15566666666666662,1.3023
0.15599999999999994,1.2942
0.15633333333333327,1.2950
0.1566666666666666,1.2926
0.15699999999999992,1.2862
0.15733333333333324,1.2870
0.15766666666666657,1.2829
0.1579999999999999,1.2853
0.15833333333333321,1.2765
0.15866666666666654,1.2789
0.15899999999999986,1.2700
0.1593333333333332,1.2716
0.1596666666666665,1.2853
0.15999999999999984,1.2716
0.16033333333333316,1.2612
0.16066666666666649,1.2676
0.1609999999999998,1.2668
0.16133333333333313,1.2588
0.16166666666666646,1.2523
0.16199999999999978,1.2644
0.1623333333333331,1.2612
0.16266666666666643,1.2539
0.16299999999999976,1.2394
0.16333333333333308,1.2434
0.1636666666666664,1.2555
0.16399999999999973,1.2451
0.16433333333333305,1.2394
0.16466666666666638,1.2305
0.1649999999999997,1.2289
0.16533333333333303,1.2305
0.16566666666666635,1.2289
0.16599999999999968,1.2281
0.166333333333333,1.2152
0.16666666666666632,1.2257
0.16699999999999965,1.2104
0.16733333333333297,1.2201
0.1676666666666663,1.2177
0.16799999999999962,1.2088
0.16833333333333295,1.2048
0.16866666666666627,1.2040
0.1689999999999996,1.1999
0.16933333333333292,1.2007
0.16966666666666624,1.2080
0.16999999999999957,1.1822
0.1703333333333329,1.1854
0.17066666666666622,1.1911
0.17099999999999954,1.1782
0.17133333333333287,1.1814
0.1716666666666662,1.1733
0.17199999999999951,1.1717
0.17233333333333284,1.1717
0.17266666666666616,1.1741
0.1729999999999995,1.1677
0.1733333333333328,1.1596
0.17366666666666614,1.1621
0.17399999999999946,1.1580
0.17433333333333279,1.1572
0.1746666666666661,1.1435
0.17499999999999943,1.1475
0.17533333333333276,1.1475
0.17566666666666608,1.1427
0.1759999999999994,1.1347
0.17633333333333273,1.1347
0.17666666666666606,1.1282
0.17699999999999938,1.1226
0.1773333333333327,1.1290
0.17766666666666603,1.1290
0.17799999999999935,1.1145
0.17833333333333268,1.1193
0.178666666666666,1.1048
0.17899999999999933,1.1032
0.17933333333333265,1.1161
0.17966666666666598,1.1048
0.1799999999999993,1.1016
0.18033333333333262,1.0960
0.18066666666666595,1.0911
0.18099999999999927,1.0895
0.1813333333333326,1.0855
0.18166666666666592,1.0847
0.18199999999999925,1.0758
0.18233333333333257,1.0758
0.1826666666666659,1.0766
0.18299999999999922,1.0750
0.18333333333333254,1.0686
0.18366666666666587,1.0702
0.1839999999999992,1.0549
0.18433333333333252,1.0573
0.18466666666666584,1.0573
0.18499999999999917,1.0500
0.1853333333333325,1.0500
0.1856666666666658,1.0452
0.18599999999999914,1.0428
0.18633333333333246,1.0460
0.1866666666666658,1.0396
0.1869999999999991,1.0267
0.18733333333333244,1.0138
0.18766666666666576,1.0307
0.18799999999999908,1.0194
0.1883333333333324,1.0122
0.18866666666666573,1.0162
0.18899999999999906,1.0162
0.18933333333333238,1.0178
0.1896666666666657,0.9944
0.18999999999999903,1.0001
0.19033333333333236,0.9960
0.19066666666666568,0.9928
0.190999999999999,0.9904
0.19133333333333233,0.9840
0.19166666666666565,0.9791
0.19199999999999898,0.9727
0.1923333333333323,0.9775
0.19266666666666563,0.9670
0.19299999999999895,0.9719
0.19333333333333227,0.9678
0.1936666666666656,0.9549
0.19399999999999892,0.9630
0.19433333333333225,0.9445
0.19466666666666557,0.9421
0.1949999999999989,0.9396
0.19533333333333222,0.9412
0.19566666666666555,0.9332
0.19599999999999887,0.9275
0.1963333333333322,0.9421
0.19666666666666552,0.9275
0.19699999999999884,0.9195
0.19733333333333217,0.9187
0.1976666666666655,0.9195
0.19799999999999882,0.9074
0.19833333333333214,0.9163
0.19866666666666546,0.8945
0.1989999999999988,0.9026
0.1993333333333321,0.8969
0.19966666666666544,0.9001
0.19999999999999876,0.8881
0.2003333333333321,0.8864
0.2006666666666654,0.8873
0.20099999999999874,0.8776
0.20133333333333206,0.8663
0.20166666666666538,0.8727
0.2019999999999987,0.8615
0.20233333333333203,0.8663
0.20266666666666536,0.8542
0.20299999999999868,0.8494
0.203333333333332,0.8550
0.20366666666666533,0.8494
0.20399999999999865,0.8478
0.20433333333333198,0.8413
0.2046666666666653,0.8333
0.20499999999999863,0.8276
0.20533333333333195,0.8308
0.20566666666666528,0.8349
0.2059999999999986,0.8212
0.20633333333333193,0.8188
0.20666666666666525,0.8204
0.20699999999999857,0.8188
0.2073333333333319,0.8002
0.20766666666666522,0.8042
0.20799999999999855,0.8091
0.20833333333333187,0.7865
0.2086666666666652,0.7922
0.20899999999999852,0.7849
0.20933333333333184,0.7889
0.20966666666666517,0.7889
0.2099999999999985,0.7720
0.21033333333333182,0.7696
0.21066666666666514,0.7623
0.21099999999999847,0.7712
0.2113333333333318,0.7664
0.21166666666666512,0.7623
0.21199999999999844,0.7503
0.21233333333333176,0.7486
0.2126666666666651,0.7422
0.2129999999999984,0.7398
0.21333333333333174,0.7390
0.21366666666666506,0.7446
0.21399999999999839,0.7293
0.2143333333333317,0.7325
0.21466666666666503,0.7325
0.21499999999999836,0.7164
0.21533333333333168,0.7075
0.215666666666665,0.7027
0.21599999999999833,0.7140
0.21633333333333166,0.7084
0.21666666666666498,0.7132
0.2169999999999983,0.7011
0.21733333333333163,0.6874
0.21766666666666495,0.6906
0.21799999999999828,0.6971
0.2183333333333316,0.6810
0.21866666666666493,0.6890
0.21899999999999825,0.6834
0.21933333333333158,0.6705
0.2196666666666649,0.6640
0.21999999999999822,0.6745
0.22033333333333155,0.6632
0.22066666666666487,0.6552
0.2209999999999982,0.6423
0.22133333333333152,0.6640
0.22166666666666485,0.6503
0.22199999999999817,0.6407
0.2223333333333315,0.6447
0.22266666666666482,0.6463
